,filename,emotion,gender,age
335,face0336.jpg,angry,Man,31
336,face0337.jpg,neutral,Man,30
337,face0338.jpg,fear,Man,28
338,face0339.jpg,neutral,Man,26
339,face0340.jpg,angry,Man,35
340,face0341.jpg,sad,Man,28
341,face0342.jpg,sad,Man,34
342,face0343.jpg,happy,Man,34
343,face0344.jpg,angry,Woman,29
344,face0345.jpg,sad,Man,27
345,face0346.jpg,sad,Man,35
346,face0347.jpg,sad,Man,25
347,face0348.jpg,angry,Woman,30
348,face0349.jpg,fear,Man,27
349,face0350.jpg,sad,Man,36
350,face0351.jpg,sad,Man,34
351,face0352.jpg,angry,Man,33
352,face0353.jpg,sad,Man,29
353,face0354.jpg,happy,Man,27
354,face0355.jpg,neutral,Woman,27
355,face0356.jpg,fear,Man,30
356,face0357.jpg,fear,Man,31
357,face0358.jpg,fear,Man,32
358,face0359.jpg,sad,Man,30
359,face0360.jpg,sad,Woman,28
360,face0361.jpg,angry,Man,25
361,face0362.jpg,sad,Woman,25
362,face0363.jpg,sad,Man,30
363,face0364.jpg,fear,Man,28
364,face0365.jpg,happy,Man,27
365,face0366.jpg,neutral,Man,29
366,face0367.jpg,fear,Man,33
367,face0368.jpg,neutral,Man,25
368,face0369.jpg,fear,Man,29
369,face0370.jpg,neutral,Man,24
370,face0371.jpg,fear,Man,26
371,face0372.jpg,surprise,Man,25
372,face0373.jpg,sad,Man,27
373,face0374.jpg,sad,Man,30
374,face0375.jpg,happy,Man,25
375,face0376.jpg,fear,Man,25
376,face0377.jpg,fear,Man,28
377,face0378.jpg,fear,Man,28
378,face0379.jpg,surprise,Man,31
379,face0380.jpg,sad,Man,29
380,face0381.jpg,angry,Man,27
381,face0382.jpg,happy,Man,26
382,face0383.jpg,neutral,Man,31
383,face0384.jpg,happy,Man,26
384,face0385.jpg,fear,Man,29
385,face0386.jpg,fear,Man,36
386,face0387.jpg,neutral,Man,32
387,face0388.jpg,happy,Man,30
388,face0389.jpg,sad,Man,29
389,face0390.jpg,sad,Man,27
390,face0391.jpg,neutral,Man,32
391,face0392.jpg,neutral,Man,31
392,face0393.jpg,fear,Man,27
393,face0394.jpg,fear,Man,29
394,face0395.jpg,fear,Man,32
395,face0396.jpg,fear,Man,28
396,face0397.jpg,neutral,Man,26
397,face0398.jpg,neutral,Man,27
398,face0399.jpg,sad,Man,34
399,face0400.jpg,neutral,Man,33
400,face0401.jpg,fear,Man,31
401,face0402.jpg,fear,Man,36
402,face0403.jpg,sad,Man,26
403,face0404.jpg,fear,Man,33
404,face0405.jpg,neutral,Man,34
405,face0406.jpg,fear,Man,32
406,face0407.jpg,sad,Man,31
407,face0408.jpg,neutral,Man,30
408,face0409.jpg,neutral,Man,31
409,face0410.jpg,sad,Man,29
410,face0411.jpg,happy,Man,33
411,face0412.jpg,neutral,Man,29
412,face0413.jpg,sad,Man,25
413,face0414.jpg,fear,Man,26
414,face0415.jpg,fear,Man,31
415,face0416.jpg,sad,Man,33
416,face0417.jpg,neutral,Man,30
417,face0418.jpg,happy,Man,26
418,face0419.jpg,neutral,Man,32
419,face0420.jpg,sad,Man,26
420,face0421.jpg,fear,Man,32
421,face0422.jpg,fear,Man,30
422,face0423.jpg,neutral,Man,31
423,face0424.jpg,neutral,Man,28
424,face0425.jpg,sad,Man,31
425,face0426.jpg,neutral,Man,28
426,face0427.jpg,sad,Man,28
427,face0428.jpg,neutral,Man,35
428,face0429.jpg,fear,Man,36
429,face0430.jpg,neutral,Man,32
430,face0431.jpg,sad,Man,32
431,face0432.jpg,surprise,Man,24
432,face0433.jpg,neutral,Man,29
433,face0434.jpg,neutral,Man,27
434,face0435.jpg,fear,Man,30
435,face0436.jpg,neutral,Man,29
436,face0437.jpg,neutral,Man,29
437,face0438.jpg,fear,Man,31
438,face0439.jpg,angry,Man,29
439,face0440.jpg,neutral,Man,30
440,face0441.jpg,sad,Man,33
441,face0442.jpg,fear,Man,29
442,face0443.jpg,neutral,Man,28
443,face0444.jpg,fear,Man,29
444,face0445.jpg,sad,Man,29
